field,value
company_name,Example Corp
ticker,EXMPL
exchange,NASDAQ
sector,Technology
currency,USD
as_of_date,2026-07-01
price,84.2
market_cap,30700000000
shares_outstanding,364600000
enterprise_value,31900000000
revenue_ttm,496000000
revenue_yoy_pct,1.0
revenue_cagr_3y_pct,4.2
gross_margin_pct,58.0
operating_margin_pct,-12.0
net_margin_pct,-18.0
net_income_ttm,-89000000
operating_cf_ttm,-9000000
capex_ttm,6000000
fcf_ttm,-15000000
fcf_margin_pct,-3.0
fcf_yield_pct,-3.0
cash_and_equivalents,410000000
total_debt,1450000000
net_debt,1040000000
net_debt_to_ebitda,9.8
debt_to_equity,140.0
interest_coverage,0.9
roic_pct,-6.5
roe_pct,-14.0
pe_ratio,#N/A
ps_ratio,62.0
ev_ebitda,#N/A
pb_ratio,18.0
p_fcf,#N/A
shares_outstanding_yoy_pct,6.0
dividend_yield_pct,0.0
buyback_yield_pct,0.0
short_interest_pct,11.0
