field_key,value
company_name,Example Corp
ticker,EXMPL
exchange,NASDAQ Global Select Market
sector,Information Technology
industry,Application Software
country,United States of America
currency,USD
as_of_date,2026-07-01
price,84.2
market_cap,30700000000
enterprise_value,31900000000
shares_out,364600000
avg_volume_3m,8000000
beta,1.6
week52_high,120.0
week52_low,40.0
pct_from_52w_high,-29.83
pe_ttm,#N/A
forward_pe,#N/A
ps_ttm,62.0
ev_ebitda,#N/A
ev_sales,64.3
ev_fcf,#N/A
pb,18.0
p_fcf,#N/A
peg,#N/A
earnings_yield,#N/A
fcf_yield,-5.0
dividend_yield,0.0
buyback_yield,0.0
shareholder_yield,0.0
cash_st,410000000
total_debt_now,1450000000
net_debt_now,1040000000
net_debt_ebitda_now,9.8
debt_to_equity,140.0
current_ratio,1.4
quick_ratio,1.1
interest_coverage,0.9
goodwill_intang,#N/A
tangible_bv,#N/A
short_interest,11.0
insider_own,0.08
institutional_own,0.62
